Team Name,Player name,Specalist,Span,Matches,Innings,Not Out,Runs,Highest Score,Average,BF,Strike Rate,Half Centuries,Centuries,0,Fours,Sixes,Wickets Taken,Catches
India,Rohit Sharma ,Bat,2007-2023,259,251,36,10554,264,49.08,11530,91.53,31,54,16,978,314,8,92
India,Hardik Pandya ,All,2016-2023,86,61,9,1769,92,34.01,1603,110.35,,11,4,132,67,84,45
India,Shubman Gill,Bat,2019-2023,41,41,6,2136,208,61.02,2090,102.2,6,11,1,243,45,0,30
India,Virat Kohli,Bat,2008-2023,289,277,44,13626,183,58.48,14565,93.55,49,70,16,1276,148,4,150
India,Shreyas Iyer,Bat,2017-2023,55,50,5,2094,113,46.53,2141,97.8,3,17,1,198,48,0,24
India,KL Rahul,Bat,2016-2023,69,65,13,2536,112,48.76,2921,86.81,6,16,2,198,55,,11
India,Ravindra Jadeja,All,2009-2023,194,131,47,2747,87,32.7,3218,85.36,,13,6,199,54,218,71
India,Ishan Kishan,Bat,2021-2023,27,24,2,933,210,42.4,913,102.19,1,7,1,95,33,,18
India,Suryakumar Yadav,Bat,2021-2023,34,32,4,752,72,26.85,705,106.66,,4,3,79,19,,16
India,Shardul Thakur,All,2017-2023,47,25,6,329,50,17.31,313,105.11,,1,1,31,9,65,26
India,Jasprit Bumrah,Bowl,2016-2023,86,25,14,90,16,8.18,156,57.69,,,5,10,1,144,18
India,Mohammed Siraj,Bowl,2019-2023,38,13,7,37,9,6.16,,40.21,,,1,,,64,6
India,Kuldeep Yadav,Bowl,2017-2023,98,35,18,179,19,10.52,315,56.82,,,3,14,0,164,15
India,Mohammed Shami,Bowl,2013-2023,98,47,20,214,25,7.92,255,83.92,,,6,16,9,187,29
India,Ravichandran Ashwin,All,2010-2023,116,63,20,707,65,16.44,813,86.96,,1,6,60,7,156,31
Australia,DA Warner,Bat,2009-2023,158,156,6,6843,179,45.62,7045,97.13,22,32,4,725,126,0,70
Australia,SPD Smith,Bat,2010-2023,152,136,15,5259,164,43.46,6003,87.6,12,31,8,469,50,28,82
Australia,TM Head,Bat,2016-2023,61,58,5,2184,152,41.2,2153,101.43,4,15,3,238,47,16,15
Australia,M Labuschagne,Bat,2020-2023,46,44,2,1554,124,37,1820,85.38,2,10,2,127,6,2,22
Australia,GJ Maxwell,All,2012-2023,136,125,16,3892,201,35.7,3063,127.06,4,23,10,373,150,69,84
Australia,MR Marsh,Bat,2011-2023,86,82,10,2480,121,34.44,2625,94.47,2,18,6,227,79,56,35
Australia,C Green,All,2020-2023,23,20,7,442,89,34,530,83.39,,1,,36,9,16,10
Australia,MP Stoinis,All,2015-2023,69,63,8,1487,146,27.03,1566,94.95,1,6,5,133,49,47,18
Australia,JR Hazlewood,Bowl,2010-2023,82,31,24,121,23,17.28,133,90.97,,,3,13,3,128,27
Australia,PJ Cummins,Bowl,2011-2023,85,56,20,478,37,13.27,626,76.35,,,8,37,11,136,21
Australia,MA Starc,Bowl,2010-2023,119,70,24,555,52,12.06,681,81.49,,1,11,40,14,230,44
Australia,A Zampa,Bowl,2016-2023,93,47,17,285,36,9.5,434,65.66,,,5,26,1,162,17
Australia,Josh Inglis,Bat,2022-2023,15,15,0,274,58,18.26,272,100.73,0,2,2,28,7,0,18
Australia,Alex Carey,Bat,2012-2023,136,125,16,3892,201,35.7,3063,127.06,4,23,10,373,150,0,35
Australia,Sean Abott,All,2014-2023,17,14,1,228,54,17.53,212,107.54,0,1,1,25,7,0,21
New Zealand,Kane Williamson (c),Bat,2010-2023,164,156,17,6741,148,48.49,8295,81.26,13,44,5,614,54,37,65
New Zealand, Trent Boult,Bowl,2012-2023,113,51,27,214,21,8.91,277,77.25,,,2,20,7,210,43
New Zealand, Mark Chapman,All,2015-2023,19,17,3,462,124,33,421,109.73,2,0,1,39,16,15,23
New Zealand,Devon Conway,Bat,2021-2023,31,30,3,1233,152,45.66,1373,89.8,5,3,2,151,16,,16
New Zealand,Lockie Ferguson,Bowl,2016-2023,64,29,13,116,19,7.25,233,49.78,,,4,6,2,99,14
New Zealand, Matt Henry,Bowl,2014-2023,82,35,12,255,48,11.08,277,92.05,,,7,21,10,141,28
New Zealand,Tom Latham,Bat,2012-2023,143,130,16,3952,145,34.66,4637,85.22,7,23,10,333,53,11,29
New Zealand,Daryl Mitchell,All,2021-2023,38,34,5,1443,130,49.75,1489,96.91,5,5,,119,37,13,24
New Zealand,Jimmy Neesham,Bat,2013-2023,76,65,12,1495,97,28.2,1496,99.93,,7,3,128,38,71,40
New Zealand,Glenn Phillips,Bat,2022-2023,29,23,3,694,72,34.7,721,96.25,,4,,51,28,12,15
New Zealand,Rachin Ravindra,Bat,2023-2023,21,17,1,754,123,47.1,690,109.3,3,3,,71,22,17,6
New Zealand,Mitch Santner,Bowl,2015-2023,103,77,29,1346,67,28,1475,91.2,0,3,,100,38,107,43
New Zealand,Ish Sodhi,All,2015-2023,50,24,4,201,35,10.05,276,72.82,,,5,7,10,16,11
New Zealand,Tim Southee,Bowl,2008-2023,160,95,35,731,55,12.18,761,96.05,,1,13,58,26,218,44
New Zealand,Will Young,Bat,2021-2023,28,28,3,1024,120,40.96,1194,85.76,2,7,3,107,20,,12
England ,Jos Buttler (captain),Bat,2012-2023,177,150,26,4934,162,39.79,4211,117.16,11,25,13,400,166,,15
England ,Moeen Ali,All,2014-2023,137,111,15,2347,128,24.44,2393,98.07,3,6,6,203,77,109,48
England ,Gus Atkinson,All,2023-2023,5,3,1,39,35,19.5,25,156,0,0,0,7,0,,10
England ,Jonny Bairstow,Bat,2011-2023,106,97,8,3809,141,42.79,3697,103.02,11,16,9,430,91,,33
England ,Sam Curran,All,2018-2023,29,22,3,418,95,22,441,94.78,0,1,1,25,19,34,23
England ,Liam Livingstone,All,2021-2023,22,20,3,496,95,29.17,467,106.2,0,3,2,35,22,13,8
England ,Dawid Malan,Bat,2019-2023,29,29,4,1419,140,56.76,1449,97.92,6,7,5,145,32,,10
England ,Adil Rashid,Bowl,2009-2023,134,67,22,826,69,18.35,838,98.56,0,1,6,80,12,197,42
England ,Joe Root,Bat,2013-2023,170,159,23,6462,133,47.51,7444,86.8,16,38,9,516,49,27,85
England ,Harry Brook,Bat,2023-2023,11,11,0,262,80,23.81,288,90.97,0,2,1,28,7,,10
England ,Ben Stokes,All,2013-2023,97,175,7,6117,258,36.41,10335,59.18,13,30,14,716,124,74,52
England ,Reece Topley,Bowl,2015-2023,29,14,11,35,15,11.66,70,50,0,0,1,3,1,46,21
England ,David Willey,Bowl,2015-2023,72,45,19,648,51,24.92,688,94.18,0,2,1,55,23,97,27
England ,Mark Wood,Bowl,2015-2023,31,52,9,724,52,16.83,1031,70.22,0,1,5,95,18,77,14
England ,Chris Woakes,Bowl,2011-2023,121,87,23,1520,95,23.75,1706,89.09,0,6,8,117,21,172,50
Pakistan,Babar Azam (Captain),Bat,2015-2023,116,113,13,5691,158,56.91,,88.78,19,32,4,514,60,,50
Pakistan,Fakhar Zaman,Bat,2017-2023,81,80,6,3491,210,47.17,,93.64,11,16,6,391,74,,42
Pakistan,Imam-ul-Haq,Bat,2017-2023,72,71,6,3138,151,48.27,,82.55,9,20,3,253,30,,42
Pakistan,Salman Ali Agha,Bat,2022-2023,20,16,5,436,58,39.63,,96.46,,3,,38,18,,12
Pakistan,Iftikhar Ahmed,Bat,2015-2023,27,23,8,611,109,40.73,,107,1,1,,52,20,15,16
Pakistan,Mohammad Rizwan,Bat,2015-2023,73,66,15,2052,131,40.23,,90.23,3,13,2,178,21,,12
Pakistan,Mohammad Haris,All,2022-2023,6,5,1,30,17,7.5,,85.71,,,1,40,20,9,18
Pakistan,Shadab Khan,All,2017-2023,69,43,11,851,86,26.59,,85.95,,4,3,50,19,85,11
Pakistan,Mohammad Nawaz,All,2016-2023,37,28,6,406,53,18.45,,88.64,,1,,27,11,66,10
Pakistan,Usama Mir,Bat,2023-2023,12,6,0,40,20,6.66,,117.64,,,2,49,19,15,7
Pakistan,Haris Rauf,Bowl,2020-2023,36,14,7,33,16,4.71,,49.25,,,1,20,8,66,10
Pakistan,Mohammad Wasim Jnr,Bowl,2022-2023,19,8,1,64,17,9.14,,94.11,,,1,18,3,32,4
Pakistan,Hasan Ali,All,2016-2023,66,38,11,383,59,14.18,,117.12,,2,4,28,24,100,13
Pakistan,Shaheen Afridi,Bowl,2018-2023,52,28,17,171,23,15.54,,79.16,,,3,14,6,102,10
Pakistan,Saud Shakeel,All,2021-2023,14,11,1,288,68,28.8,,91.13,,3,,10,5,,5
Srilanka,Dasun Shanaka,All,2016-2023,69,61,5,1284,108,22.92,1388,92.5,2,4,6,103,42,27,18
