Team Name,Team ID,ICC Ranking(ODI),Matches,Avg Score,Avg Wickets,Avg Catches,Avg Fours,Avg Sixes,Avg Half Centuries,Avg Centuries
Afghanistan,1,9,28,20.8984375,58.20606060606061,18.333333333333332,89.93333333333334,24.0,1.1333333333333333,6.6
Australia,2,2,38,23.453834115805947,59.333333333333336,34.6,191.33333333333334,47.266666666666666,4.532183908045977,12.677272727272728
Bangladesh,3,8,43,22.76461038961039,69.37696969696971,24.666666666666668,164.93333333333334,24.066666666666666,2.8126436781609194,12.14040404040404
England,4,6,36,25.68888888888889,77.13939393939394,29.866666666666667,190.33333333333334,44.13333333333333,4.0,9.2
India,5,1,52,25.18087182823682,85.37696969696971,38.8,244.55570469798658,55.89485458612975,8.437931034482759,16.08080808080808
Netherlands,6,14,35,20.50623441396509,41.10181818181818,6.866666666666666,48.46666666666667,8.6,0.3333333333333333,3.3333333333333335
New Zealand,7,5,41,18.430865298840324,72.76242424242425,27.533333333333335,121.66666666666667,25.133333333333333,4.051724137931035,9.080808080808081
Pakistan,8,4,35,25.264285714285716,57.55393939393939,17.466666666666665,112.13333333333334,22.533333333333335,5.131034482758621,9.3510101010101
South Africa,9,3,32,22.147129186602868,64.22060606060606,20.0,121.0,27.2,2.3333333333333335,5.533333333333333
Sri Lanka,10,7,46,22.910764872521245,37.11030303030303,15.133333333333333,109.0,15.4,1.2,6.533333333333333
