Venue,Venue ID
"Narendra Modi Stadium, Ahmedabad",1
"Rajiv Gandhi International Stadium, Hyderabad",2
"Himachal Pradesh Cricket Association Stadium, Dharamsala",3
"Arun Jaitley Stadium, Delhi",4
"MA Chidambaram Stadium, Chennai",5
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",6
"Maharashtra Cricket Association Stadium, Pune",7
"M Chinnaswamy Stadium, Bengaluru",8
"Wankhede Stadium, Mumbai",9
"Eden Gardens, Kolkata",10
"The Cooper Associates County Ground, Taunton",11
"Emirates Old Trafford, Manchester",12
"Headingley, Leeds",13
"Sophia Gardens, Cardiff",14
"Kennington Oval, London",15
"County Ground, Bristol",16
"Edgbaston, Birmingham",17
"Trent Bridge, Nottingham",18
"Lord's, London",19
"Riverside Ground, Chester-le-Street",20
"The Rose Bowl, Southampton",21
"Saxton Oval, Nelson",22
"The Gabba, Brisbane",23
"Manuka Oval, Canberra",24
"McLean Park, Napier",25
"Adelaide Oval, Adelaide",26
"Seddon Park, Hamilton",27
"University Oval, Dunedin",28
"Hagley Oval, Christchurch",29
"Melbourne Cricket Ground, Melbourne",30
"Sydney Cricket Ground, Sydney",31
"Bellerive Oval, Hobart",32
"Sky Stadium, Wellington",33
"Eden Park, Auckland",34
"W.A.C.A. Ground, Perth",35
"R.Premadasa Stadium, Colombo",36
"Punjab Cricket Association IS Bindra Stadium, Mohali",37
"Zahur Ahmed Chowdhury Stadium, Chattogram",38
"Mahinda Rajapaksa International Stadium, Hambantota",39
"Narendra Modi Stadium A Ground, Ahmedabad",40
"M.Chinnaswamy Stadium, Bengaluru",41
"Shere Bangla National Stadium, Dhaka",42
"Pallekele International Cricket Stadium, Pallekele",43
"Vidarbha Cricket Association Stadium, Nagpur",44
"Boland Park, Paarl",45
"Newlands, Cape Town",46
"Buffalo Park, East London",47
"Diamond Oval, Kimberley",48
"Mangaung Oval, Bloemfontein",49
"The Wanderers Stadium, Johannesburg",50
"Harare Sports Club, Harare",51
"City Oval, Pietermaritzburg",52
"SuperSport Park, Centurion",53
"Kingsmead, Durban",54
"Senwes Park, Potchefstroom",55
"St George's Park, Gqeberha",56
"Willowmoore Park, Benoni",57
"Queens Sports Club, Bulawayo",58
"Gymkhana Club Ground, Nairobi",59
"Grace Road, Leicester",60
"County Ground, Chelmsford",61
"County Ground, Northampton",62
"New Road, Worcester",63
"County Ground, Southampton",64
"Grange Cricket Club, Edinburgh",65
"County Ground, Derby",66
"VRA Cricket Ground, Amstelveen",67
"Castle Avenue, Dublin",68
"County Ground, Brighton",69
"St Lawrence Ground, Canterbury",70
