season,team1,team2,date,winner,Venue
2023,England,New Zealand,2023/10/05,New Zealand,"Narendra Modi Stadium, Ahmedabad"
2023,Pakistan,Netherlands,2023/10/06,Pakistan,"Rajiv Gandhi International Stadium, Hyderabad"
2023,Afghanistan,Bangladesh,2023/10/07,Bangladesh,"Himachal Pradesh Cricket Association Stadium, Dharamsala"
2023,South Africa,Sri Lanka,2023/10/07,South Africa,"Arun Jaitley Stadium, Delhi"
2023,Australia,India,2023/10/08,India,"MA Chidambaram Stadium, Chennai"
2023,New Zealand,Netherlands,2023/10/09,New Zealand,"Rajiv Gandhi International Stadium, Hyderabad"
2023,England,Bangladesh,2023/10/10,England,"Himachal Pradesh Cricket Association Stadium, Dharamsala"
2023,Sri Lanka,Pakistan,2023/10/10,Pakistan,"Rajiv Gandhi International Stadium, Hyderabad"
2023,Afghanistan,India,2023/10/11,India,"Arun Jaitley Stadium, Delhi"
2023,South Africa,Australia,2023/10/12,South Africa,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow"
2023,Bangladesh,New Zealand,2023/10/13,New Zealand,"MA Chidambaram Stadium, Chennai"
2023,Pakistan,India,2023/10/14,India,"Narendra Modi Stadium, Ahmedabad"
2023,Afghanistan,England,2023/10/15,Afghanistan,"Arun Jaitley Stadium, Delhi"
2023,Sri Lanka,Australia,2023/10/16,Australia,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow"
2023,Netherlands,South Africa,2023/10/17,Netherlands,"Himachal Pradesh Cricket Association Stadium, Dharamsala"
2023,New Zealand,Afghanistan,2023/10/18,New Zealand,"MA Chidambaram Stadium, Chennai"
2023,Bangladesh,India,2023/10/19,India,"Maharashtra Cricket Association Stadium, Pune"
2023,Australia,Pakistan,2023/10/20,Australia,"M Chinnaswamy Stadium, Bengaluru"
2023,Netherlands,Sri Lanka,2023/10/21,Sri Lanka,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow"
2023,South Africa,England,2023/10/21,South Africa,"Wankhede Stadium, Mumbai"
2023,New Zealand,India,2023/10/22,India,"Himachal Pradesh Cricket Association Stadium, Dharamsala"
2023,Pakistan,Afghanistan,2023/10/23,Afghanistan,"MA Chidambaram Stadium, Chennai"
2023,South Africa,Bangladesh,2023/10/24,South Africa,"Wankhede Stadium, Mumbai"
2023,Australia,Netherlands,2023/10/25,Australia,"Arun Jaitley Stadium, Delhi"
2023,England,Sri Lanka,2023/10/26,Sri Lanka,"M Chinnaswamy Stadium, Bengaluru"
2023,Pakistan,South Africa,2023/10/27,South Africa,"MA Chidambaram Stadium, Chennai"
2023,Australia,New Zealand,2023/10/28,Australia,"Himachal Pradesh Cricket Association Stadium, Dharamsala"
2023,Netherlands,Bangladesh,2023/10/28,Netherlands,"Eden Gardens, Kolkata"
2023,India,England,2023/10/29,India,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow"
2023,Sri Lanka,Afghanistan,2023/10/30,Afghanistan,"Maharashtra Cricket Association Stadium, Pune"
2023,Bangladesh,Pakistan,2023/10/31,Pakistan,"Eden Gardens, Kolkata"
