team1,team2,winner,Venue,date,season
New Zealand,Sri Lanka,New Zealand,"Bay Oval, Mount Maunganui",2019/01/03,2019
New Zealand,Sri Lanka,New Zealand,"Bay Oval, Mount Maunganui",2019/01/04,2019
New Zealand,Sri Lanka,New Zealand,"Saxton Oval, Nelson",2019/01/05,2019
Australia,India,Australia,"Sydney Cricket Ground, Sydney",2019/01/06,2019
Australia,India,India,"Adelaide Oval, Adelaide",2019/01/07,2019
Australia,India,India,"Melbourne Cricket Ground, Melbourne",2019/01/08,2019
South Africa,Pakistan,Pakistan,"St George's Park, Gqeberha",2019/01/09,2019
South Africa,Pakistan,South Africa,"Kingsmead, Durban",2019/01/10,2019
New Zealand,India,India,"McLean Park, Napier",2019/01/11,2019
U.A.E.,Nepal,U.A.E.,"ICCA, Dubai",2019/01/12,2019
South Africa,Pakistan,South Africa,"SuperSport Park, Centurion",2019/01/13,2019
New Zealand,India,India,"Bay Oval, Mount Maunganui",2019/01/14,2019
U.A.E.,Nepal,Nepal,"ICCA, Dubai",2019/01/15,2019
South Africa,Pakistan,Pakistan,"The Wanderers Stadium, Johannesburg",2019/01/16,2019
New Zealand,India,India,"Bay Oval, Mount Maunganui",2019/01/17,2019
U.A.E.,Nepal,Nepal,"ICCA, Dubai",2019/01/18,2019
South Africa,Pakistan,South Africa,"Newlands, Cape Town",2019/01/19,2019
New Zealand,India,New Zealand,"Seddon Park, Hamilton",2019/01/20,2019
New Zealand,India,India,"Sky Stadium, Wellington",2019/01/21,2019
New Zealand,Bangladesh,New Zealand,"McLean Park, Napier",2019/02/13,2019
New Zealand,Bangladesh,New Zealand,"Hagley Oval, Christchurch",2019/02/16,2019
New Zealand,Bangladesh,New Zealand,"University Oval, Dunedin",2019/02/20,2019
West Indies,England,England,"Kensington Oval, Bridgetown",2019/02/20,2019
West Indies,England,West Indies,"Kensington Oval, Bridgetown",2019/02/22,2019
West Indies,England,no result,"St George's Park, Gqeberha",2019/02/25,2019
West Indies,England,England,"St George's Park, Gqeberha",2019/02/27,2019
Afghanistan,Ireland,Afghanistan,"Rajiv Gandhi International Cricket Stadium, Dehradun",2019/02/28,2019
Afghanistan,Ireland,no result,"Rajiv Gandhi International Cricket Stadium, Dehradun",2019/03/02,2019
India,Australia,India,"Rajiv Gandhi International Cricket Stadium, Hyderabad",2019/03/02,2019
West Indies,England,West Indies,"Daren Sammy National Cricket Stadium, Gros Islet",2019/03/02,2019
South Africa,Sri Lanka,South Africa,"The Wanderers Stadium, Johannesburg",2019/03/03,2019
Afghanistan,Ireland,Ireland,"Rajiv Gandhi International Cricket Stadium, Dehradun",2019/03/05,2019
